,hospital,latitude,longitude,City_x,City_y,City
189,"14900 Imperial Hwy,La Mirada, CA 90638",33.916367,-118.01333,Anaheim,Anaheim,Anaheim
190,"1224 E Katella Ave,Orange, CA 92867",33.808327,-117.840769,Anaheim,Anaheim,Anaheim
191,"1201 W La Veta Ave,Orange, CA 92868",33.781072,-117.866089,Anaheim,Anaheim,Anaheim
192,"1140 W La Veta Ave,Orange, CA 92868",33.779879,-117.865241,Anaheim,Anaheim,Anaheim
193,"1120 W La Veta Ave,Orange, CA 92868",33.779508,-117.8644,Anaheim,Anaheim,Anaheim
194,"401 S Tustin St,Orange, CA 92866",33.782125,-117.835057,Anaheim,Anaheim,Anaheim
195,"2617 E Chapman Ave,Orange, CA 92869",33.788416,-117.825443,Anaheim,Anaheim,Anaheim
196,"2670 N. Main Street, Suite 150,Santa Ana, CA 92705",33.732249,-117.880826,Anaheim,Anaheim,Anaheim
197,"7232 Orangethorpe Ave,Buena Park, CA 90621",33.855981,-118.004034,Anaheim,Anaheim,Anaheim
198,"1301 N Tustin Ave,Santa Ana, CA 92705",33.756592,-117.832931,Anaheim,Anaheim,Anaheim
199,"2001 E 4th St,Santa Ana, CA 92705",33.74863,-117.838617,Anaheim,Anaheim,Anaheim
200,"11037 Warner Ave,Fountain Valley, CA 92708",33.709629,-117.951352,Anaheim,Anaheim,Anaheim
201,"14662 Newport Ave,Tustin, CA 92780",33.730265,-117.828625,Anaheim,Anaheim,Anaheim
202,"1901 College Ave,Santa Ana, CA 92706",33.762289,-117.891514,Anaheim,Anaheim,Anaheim
203,"10161 Bolsa Ave Ste 205a,Westminster, CA 92683",33.745888,-117.952167,Anaheim,Anaheim,Anaheim
204,"800 N Main St,Santa Ana, CA 92701",33.751305,-117.868155,Anaheim,Anaheim,Anaheim
205,"18629 Yorba Linda Blvd,Yorba Linda, CA 92886",33.894377,-117.777522,Anaheim,Anaheim,Anaheim
206,"12620 Brookhurst St Ste 2,Garden Grove, CA 92840",33.77963,-117.957875,Anaheim,Anaheim,Anaheim
207,"1742 N Tustin St,Orange, CA 92865",33.802647,-117.84931,Anaheim,Anaheim,Anaheim
208,"1000 W La Veta Ave 2nd Fl,Orange, CA 92868",33.780024,-117.86365,Anaheim,Anaheim,Anaheim
209,"845 W La Veta Ave Ste 105,Orange, CA 92868",33.802647,-117.84931,Long Beach,Long Beach,Long Beach
210,"1950 Sunnycrest Dr Suites 2500 &amp; 2550,Fullerton, CA 92835",33.884009,-117.935077,Anaheim,Anaheim,Anaheim
211,"2800 N Main St,Santa Ana, CA 92705",33.775673,-117.869963,Anaheim,Anaheim,Anaheim
212,"6261 Stanton Ave Fl 1,Buena Park, CA 90621",33.869429,-117.994144,Long Beach,Long Beach,Long Beach
213,"6650 Beach Blvd,Buena Park, CA 90621",33.863851,-117.996906,Anaheim,Anaheim,Anaheim
214,"1041 E Yorba Linda Blvd Ste 309,Placentia, CA 92870",33.888981,-117.844986,Anaheim,Anaheim,Anaheim
215,"1530 W 17th St,Santa Ana, CA 92706",33.732249,-117.880826,Anaheim,Anaheim,Anaheim
216,"8150 Knott Ave,Buena Park, CA 90620",33.843702,-118.009838,Anaheim,Anaheim,Anaheim
217,"1212 W 17th St,Santa Ana, CA 92706",33.759813,-117.883515,Anaheim,Anaheim,Anaheim
218,"477 S Associated Rd Ste A,Brea, CA 92821",33.911805,-117.882048,Anaheim,Anaheim,Anaheim
219,"6850 Lincoln Ave,Buena Park, CA 90620",33.831413,-118.013508,Anaheim,Anaheim,Anaheim
220,"955 W Imperial Hwy,Brea, CA 92821",33.917926,-117.913319,Anaheim,Anaheim,Anaheim
221,"705 E Birch St Ste P,Brea, CA 92821",33.918003,-117.890319,Anaheim,Anaheim,Anaheim
222,"2767 E Imperial Hwy,Brea, CA 92821",33.911619,-117.859565,Anaheim,Anaheim,Anaheim
223,"901 W Civic Center Dr Ste 120,Santa Ana, CA 92703",33.732249,-117.880826,Anaheim,Anaheim,Anaheim
224,"8200 Westminster Blvd,Westminster, CA 92683",33.756612,-117.985977,Anaheim,Anaheim,Anaheim
225,"860 E La Habra Blvd,La Habra, CA 90631",33.93151,-117.936016,Anaheim,Anaheim,Anaheim
226,"18637 Yorba Linda Blvd,Yorba Linda, CA 92886",33.888852,-117.808488,Anaheim,Anaheim,Anaheim
227,"17251 17th St Ste B,Tustin, CA 92780",33.725826,-117.817153,Anaheim,Anaheim,Anaheim
228,"2212 E 4th St 1st Fl,Santa Ana, CA 92705",33.747083,-117.835135,Anaheim,Anaheim,Anaheim
229,"2212 E 4th St,Santa Ana, CA 92705",33.747083,-117.835135,Anaheim,Anaheim,Anaheim
230,"13357 South St,Cerritos, CA 90703",33.859611,-118.046598,Anaheim,Anaheim,Anaheim
231,"11420 Warner Ave,Fountain Valley, CA 92708",33.715591,-117.92994,Anaheim,Anaheim,Anaheim
232,"4332 Katella Ave,Los Alamitos, CA 90720",33.793006,-118.059769,Anaheim,Anaheim,Anaheim
233,"2109 Westminster Mall,Westminster, CA 92683",33.757813,-118.002155,Anaheim,Anaheim,Anaheim
