,beaches,latitude,longitude,City_x,City_y,City
971,"600 Bay Dr,Middle River, MD 21220",41.32916,-94.23135,Washington,Washington,Washington
972,"401 Riverside Dr,Fredericksburg, VA 22401",38.296804,-77.482857,Washington,Washington,Washington
1035,"2750 Sweden Point Rd,Marbury, MD 20658",38.551851,-77.184276,Washington,Washington,Washington
1036,"8916 Chesapeake Ave,North Beach, MD 20714",38.704869,-76.533557,Alexandria,Alexandria,Alexandria
1037,"1202 Triton Beach Rd,Edgewater, MD 21037",38.884885,-76.495391,Alexandria,Alexandria,Alexandria
1038,"300 Key Ave,Brooklyn, MD 21225",41.433533,-81.75184,Alexandria,Alexandria,Alexandria
1039,"5419 Deale Churchton Rd Ste 202,Churchton, MD 20733",38.808528,-76.538821,Alexandria,Alexandria,Alexandria
1040,"5300 Breezy Point Rd,Chesapeake Beach, MD 20732",38.617151,-76.513307,Alexandria,Alexandria,Alexandria
1041,"133 Lee Dr,Annapolis, MD 21403",38.934539,-76.489156,Alexandria,Alexandria,Alexandria
1042,"8550 Bayside Rd,Chesapeake Beach, MD 20732",38.700696,-76.536967,Washington,Washington,Washington
1043,"21085 Tolchester Beach Rd,Chestertown, MD 21620",39.213285,-76.23899,Washington,Washington,Washington
1044,"3500 Lighthouse Blvd,Lusby, MD 20657",38.386225,-76.382001,ArlingtonVA,ArlingtonVA,ArlingtonVA
1045,"1100 E College Pkwy,Annapolis, MD 21409",39.021188,-76.40703,Washington,Washington,Washington
1046,"145 Cliff Rd,Montross, VA 22520",38.170202,-76.863931,ArlingtonVA,ArlingtonVA,ArlingtonVA
1047,"401 Brooke Rd,Fredericksburg, VA 22405",38.296804,-77.482857,Alexandria,Alexandria,Alexandria
1048,"9500 Hg Trueman Rd,Lusby, MD 20657",38.356413,-76.441016,Washington,Washington,Washington
1049,"2425 Zacata Rd,Montross, VA 22520",38.093835,-76.823487,Washington,Washington,Washington
1050,"600 Bay Dr,Middle River, MD 21220",41.32916,-94.23135,Washington,Washington,Washington
1051,"401 Riverside Dr,Fredericksburg, VA 22401",38.296804,-77.482857,Washington,Washington,Washington
