,shopping,latitude,longitude,City
150,"651 N Euclid St,Anaheim, CA 92801",33.841125,-117.943627,Anaheim
151,"2791 E Lincoln Ave,Anaheim, CA 92806",33.837586,-117.872137,Anaheim
152,"530 N Brookhurst St,Anaheim, CA 92801",33.839438,-117.958611,Anaheim
153,"1000 N State College Blvd,Anaheim, CA 92806",33.84759,-117.888761,Anaheim
154,"946 S Brookhurst St,Anaheim, CA 92804",33.818474,-117.958544,Anaheim
155,"2771 W Lincoln Ave,Anaheim, CA 92801",33.832456,-117.983377,Anaheim
156,"1216 S Magnolia Ave,Anaheim, CA 92804",33.816817,-117.974398,Anaheim
157,"10502 Magnolia Ave,Anaheim, CA 92804",33.809924,-117.975266,Anaheim
158,"915 S Brookhurst St,Anaheim, CA 92804",33.819471,-117.960056,Anaheim
159,"910 S Euclid St,Anaheim, CA 92802",33.819552,-117.94067,Anaheim
160,"1131 N State College Blvd,Anaheim, CA 92806",33.849499,-117.890381,Anaheim
161,"407 E North St,Anaheim, CA 92805",33.845362,-117.912729,Anaheim
162,"715 N Loara St,Anaheim, CA 92801",33.841774,-117.93763,Anaheim
163,"318 N Brookhurst St,Anaheim, CA 92801",33.836127,-117.958544,Anaheim
164,"1199 N Euclid St,Anaheim, CA 92801",33.850445,-117.942069,Anaheim
165,"1265 N Kraemer Blvd,Anaheim, CA 92806",33.856758,-117.859822,Anaheim
166,"2950 W Ball Rd,Anaheim, CA 92804",33.816915,-117.991459,Anaheim
167,"704 N Valley St Ste J,Anaheim, CA 92801",33.841294,-117.954474,Anaheim
168,"1011 N Tustin Ave,Anaheim, CA 92807",33.852724,-117.838606,Anaheim
169,"1226 S Magnolia Ave,Anaheim, CA 92804",33.816248,-117.974367,Anaheim
170,"222 S Euclid St,Anaheim, CA 92802",33.830489,-117.940876,Anaheim
171,"1238 S Magnolia Ave,Anaheim, CA 92804",33.815673,-117.974341,Anaheim
172,"1749 W La Palma Ave,Anaheim, CA 92801",33.847415,-117.943765,Anaheim
173,"419 S Brookhurst St,Anaheim, CA 92804",33.827095,-117.959481,Anaheim
174,"2618 W La Palma Ave,Anaheim, CA 92801",33.846519,-117.977207,Anaheim
175,"630 N Euclid St,Anaheim, CA 92801",33.840359,-117.940153,Anaheim
176,"1200 N State College Blvd,Anaheim, CA 92806",33.85131,-117.888922,Anaheim
