StationId,Latitude,Longitude,City
34.047634,-118.22594,80407,Los Angeles
34.047634,-118.22594,80407S,Los Angeles
34.04763,-118.22541,80407A,Los Angeles
34.0501,-118.237901,80408,Los Angeles
34.0501,-118.237901,80408S,Los Angeles
34.04937,-118.23786,80408A,Los Angeles
34.05063,-118.23781,80408B,Los Angeles
34.056061,-118.234759,80409,Los Angeles
34.05584,-118.2348,80409A,Los Angeles
34.063861,-118.23584,80410,Los Angeles
34.063861,-118.23584,80410S,Los Angeles
34.06399,-118.23573,80410A,Los Angeles
34.06379,-118.23605,80410B,Los Angeles
34.0634,-118.23596,80410C,Los Angeles
34.080949,-118.220429,80411,Los Angeles
34.080949,-118.220429,80411S,Los Angeles
34.08113,-118.2199,80411A,Los Angeles
34.08146,-118.22015,80411B,Los Angeles
34.087227,-118.213213,80412,Los Angeles
34.087227,-118.213213,80412S,Los Angeles
34.08749,-118.21273,80412A,Los Angeles
34.08771,-118.21284,80412B,Los Angeles
34.098243,-118.206712,80413,Los Angeles
34.098243,-118.206712,80413S,Los Angeles
34.09833,-118.20589,80413A,Los Angeles
34.09864,-118.20622,80413B,Los Angeles
34.09882,-118.20598,80413C,Los Angeles
34.111179,-118.192606,80414,Los Angeles
34.111179,-118.192606,80414S,Los Angeles
34.1107,-118.19356,80414A,Los Angeles
34.11159,-118.19175,80414B,Los Angeles
34.115186,-118.157886,80415,Los Angeles
34.115186,-118.157886,80415S,Los Angeles
34.1148,-118.1582,80415A,Los Angeles
34.1148,-118.1584,80415B,Los Angeles
34.1155,-118.1574,80415C,Los Angeles
34.11564,-118.1575,80415D,Los Angeles
34.133521,-118.148126,80416,Los Angeles
34.133521,-118.148126,80416S,Los Angeles
34.13291,-118.1481,80416A,Los Angeles
34.14191,-118.148214,80417,Los Angeles
34.14191,-118.148214,80417S,Los Angeles
34.14143,-118.14829,80417A,Los Angeles
34.14143,-118.14812,80417B,Los Angeles
34.148356,-118.147512,80418,Los Angeles
34.148356,-118.147512,80418S,Los Angeles
34.14769,-118.14776,80418A,Los Angeles
34.14774,-118.1479,80418B,Los Angeles
34.151806,-118.13139,80419,Los Angeles
34.151806,-118.13139,80419S,Los Angeles
34.15178,-118.13205,80419A,Los Angeles
34.1518,-118.13261,80419B,Los Angeles
34.152417,-118.114348,80420,Los Angeles
34.152417,-118.114348,80420S,Los Angeles
34.15242,-118.11352,80420A,Los Angeles
34.147752,-118.081212,80421,Los Angeles
34.147752,-118.081212,80421S,Los Angeles
34.1487,-118.08163,80421A,Los Angeles
34.14286,-118.029199,80422,Los Angeles
34.14286,-118.029199,80422S,Los Angeles
34.14249,-118.0285,80422A,Los Angeles
34.14239,-118.02859,80422B,Los Angeles
34.133155,-118.003473,80423,Los Angeles
34.133155,-118.003473,80423S,Los Angeles
34.13298,-118.00265,80423A,Los Angeles
34.132518,-117.96768,80424,Los Angeles
34.132518,-117.96768,80424S,Los Angeles
34.13259,-117.96676,80424A,Los Angeles
34.13245,-117.96683,80424B,Los Angeles
34.13247,-117.96878,80424C,Los Angeles
34.13246,-117.96844,80424D,Los Angeles
34.129048,-117.932506,80425,Los Angeles
34.129048,-117.932506,80425S,Los Angeles
34.12877,-117.93348,80425A,Los Angeles
34.12884,-117.93329,80425B,Los Angeles
34.135863,-117.906631,80426,Los Angeles
34.135863,-117.906631,80426S,Los Angeles
34.13571,-117.90741,80426A,Los Angeles
34.13544,-117.90741,80426B,Los Angeles
34.136814,-117.891636,80427,Los Angeles
34.136814,-117.891636,80427S,Los Angeles
34.13694,-117.89085,80427A,Los Angeles
33.94557205,-118.378683,80701,Los Angeles
33.94557205,-118.378683,80701S,Los Angeles
33.94600439,-118.3787124,80701A,Los Angeles
33.94583443,-118.3788987,80701B,Los Angeles
33.94986696,-118.3786793,80702,Los Angeles
33.94986696,-118.3786793,80702S,Los Angeles
33.96203144,-118.374378,80703,Los Angeles
33.96203144,-118.374378,80703S,Los Angeles
33.96224,-118.37375,80703A,Los Angeles
33.96238,-118.37372,80703B,Los Angeles
33.96715635,-118.3514966,80704,Los Angeles
33.96715635,-118.3514966,80704S,Los Angeles
33.96759,-118.35084,80704A,Los Angeles
33.96686,-118.35158,80704B,Los Angeles
33.97525155,-118.3360716,80705,Los Angeles
33.97525155,-118.3360716,80705S,Los Angeles
33.97559,-118.33542,80705A,Los Angeles
33.97502,-118.33679,80705B,Los Angeles
33.98818653,-118.3308158,80706,Los Angeles
33.98818653,-118.3308158,80706S,Los Angeles
33.9889,-118.33083,80706A,Los Angeles
33.98729,-118.33085,80706B,Los Angeles
34.00390927,-118.3320162,80707,Los Angeles
34.00390927,-118.3320162,80707S,Los Angeles
34.00445376,-118.3326505,80707A,Los Angeles
