,Norm Price,Housing Price/SQ Ft,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
58,0.0750680607394349,94.22348484848484,1799864.3287991341,1828712.2778202917,1829222.2818746178,1829058.8765654026,1823315.1821289249,1828158.157976647,1821175.3212290048,1828492.8668926,1824898.720280711,18279.31535893949
59,0.3436150382013897,349.3150684931507,1801035.8321281609,1829893.3682644933,1830403.6249440925,1830239.791593271,1824495.5169794,1829339.1428628583,1822364.4229765323,1829673.8508783102,1826084.0414029725,18291.130349344425
60,0.1850743260685998,198.71794871794876,1801300.2384429008,1830134.7899623823,1830644.4305703663,1830481.6406174768,1824738.7787588574,1829580.821882848,1822586.0351173116,1829915.53202914,1826315.0741131841,18293.53460223432
61,0.1850743260685998,198.71794871794876,1801299.4978792248,1830134.0614382732,1830643.7023709682,1830480.911868319,1824738.049264887,1829580.0932230873,1822585.3170834351,1829914.8033683123,1826314.3510769198,18293.527322242782
62,0.1245669197534359,141.24223163841808,1800722.7548637565,1829566.6324202062,1830076.524580437,1829913.3086938732,1824169.870077593,1829012.5592701556,1822026.0059593904,1829347.2685726203,1825751.168745399,18287.85709449227
63,0.1837921338369486,197.5,1801358.4533781752,1830220.863864384,1830731.249928523,1830567.1973517546,1824822.626050572,1829666.584428998,1822696.0472718326,1830001.2919693864,1826413.710887165,18294.407398923697
64,0.4617579128985941,461.5384615384616,1801560.4268853222,1830416.9819568838,1830927.2105913279,1830763.4246949346,1825019.2138423205,1829862.7682375722,1822887.0890922248,1830197.476354394,1826607.1698371011,18296.36603200012
65,0.2604428673382467,270.3101920236337,1802988.311254981,1831839.6195090248,1832349.7028491208,1832186.1629210634,1826442.2837217185,1831285.4663876311,1824304.932581263,1831620.1750232761,1828027.324286025,18310.590055567773
66,0.1232591637426791,140.0,1799844.0303188537,1828692.9235479922,1829202.9529432221,1829039.504714825,1823295.7521895317,1828138.7931213863,1821156.7826938822,1828473.501948723,1824879.7935997772,18279.12222612494
67,0.2698734836740805,279.2682926829268,1801369.4328662169,1830231.150082037,1830741.5175501918,1830577.4964772346,1824832.9677554003,1829676.878409131,1822705.7349578529,1830011.5860183486,1826423.6832786598,18294.509960118558
68,0.1504372319482695,165.81632653061226,1800494.9505729342,1829332.8785791728,1829842.6122892299,1829679.6647642727,1823936.5899494402,1828778.8716388491,1821787.1843124928,1829113.5814773268,1825514.7503769167,18285.51699421673
69,0.1229082479740167,139.66666666666666,1800508.9333061245,1829359.0726760062,1829869.1331598903,1829705.6322044795,1823961.80776424,1828804.9292302749,1821823.871362508,1829139.6379480027,1825546.4509484663,18285.78421969945
70,0.3782929838653229,382.25549538069447,1801365.09491094,1830220.9729588241,1830731.184134952,1830567.4278332281,1824823.2571716781,1829666.7665394633,1822690.5365267084,1830001.4747194725,1826410.8711443124,18294.40565970774
71,0.3928718504189059,396.1038961038961,1801006.7658586027,1829864.848436732,1830375.119842507,1830211.2615478756,1824466.9532219,1829310.6168880982,1822336.378868137,1829645.3248499976,1826055.7705431588,18290.84538938765
72,0.3893702883116899,392.77777777777777,1801583.0994079341,1830445.2885596598,1830955.6679351684,1830791.6266667787,1825047.0704706982,1829891.0119046967,1822920.2371101058,1830225.7194697312,1826638.017471617,18296.65153742204
73,0.0668786969109151,86.44444444444444,1800577.1382173412,1829428.7005193077,1829938.7988570808,1829775.233776511,1824031.3224886106,1828874.5412610825,1821894.7090883143,1829209.249845032,1825616.715232438,18286.481110424636
74,0.2696787682170787,279.0833333333333,1801492.3580837029,1830323.4336357585,1830832.9805717624,1830670.3492096392,1824927.7022679416,1829769.50469242,1822771.6546684075,1830104.2151437977,1826502.135262613,18295.419524719626
75,0.3969734632993759,400.0,1801104.049440212,1829965.0435906453,1830475.3926050048,1830311.4028233718,1824566.9166204482,1829410.779635555,1822439.0590352542,1829745.4873130475,1826157.2719196975,18291.84859677875
76,0.3019467153253015,309.7345132743363,1800956.06127011,1829813.519449336,1830323.7743135148,1830159.944046403,1824415.6736678882,1829259.2948098788,1822284.5229122508,1829594.002831973,1826004.1638728343,18290.331831887383
77,0.1520072632523322,167.30769230769232,1800591.680168204,1829443.4552203307,1829953.5592031141,1829789.984559198,1824046.0603168209,1828889.293603889,1821909.6438315518,1829224.0021678172,1825631.5647423312,18286.62874874315
78,0.1086752331734973,126.14678899082568,1799942.0889804005,1828786.171652209,1829296.0719616406,1829132.8423549284,1823389.3857890652,1828232.095139016,1821245.8762009563,1828566.804413972,1824970.863832968,18280.05261929156
80,0.2600110387904288,269.9,1801016.1508851703,1829873.0094556143,1830383.2480650188,1830219.4453276682,1824475.2121361608,1829318.7915999147,1822343.4853448863,1829653.4996809443,1826063.3784094772,18290.92646887404
